user_id,item_id,watch_percentage,created_at,rating
224557,510,100,2018-09-28 16:18:29,10
224557,615,100,2018-09-28 16:22:22,10
224557,7680,100,2018-09-28 16:23:34,10
224293,510,100,2018-09-28 17:20:30,10
224293,515,100,2018-09-28 17:40:02,10
224293,516,32,2018-09-28 17:41:45,4
224442,510,100,2018-10-01 20:11:35,10
196845,510,7,2018-10-06 13:12:52,1
265845,510,100,2018-10-10 21:17:26,10
224470,510,100,2018-10-11 19:59:49,10
224470,513,100,2018-10-11 20:20:15,10
224470,526,100,2018-10-11 20:04:32,10
267435,510,100,2018-10-17 10:52:40,10
268354,510,97,2018-10-20 10:23:23,10
268944,510,100,2018-10-25 15:31:45,10
268930,510,100,2018-10-26 04:50:59,10
268930,733,86,2018-10-23 13:22:17,9
266026,510,100,2018-10-30 15:13:00,10
224453,510,100,2018-10-31 19:16:25,10
224453,615,100,2018-10-31 19:13:20,10
224453,813,52,2018-10-31 19:15:53,6
224453,7680,100,2018-10-31 19:14:34,10
224343,510,100,2018-11-01 20:42:29,10
277123,510,100,2018-11-14 22:43:55,10
277123,7104,41,2019-01-17 15:19:12,5
277123,70385,25,2020-02-05 18:50:53,3
274237,510,19,2018-11-15 19:50:47,2
277945,510,100,2018-11-20 16:21:37,10
277945,511,81,2018-12-06 17:27:29,9
277945,512,100,2018-11-20 16:23:15,10
277945,619,100,2019-05-22 14:12:35,10
277945,733,100,2019-03-18 16:47:19,10
277945,734,3,2019-03-28 00:09:03,1
277945,738,100,2019-10-10 21:13:04,10
277945,739,100,2019-10-10 21:14:39,10
277945,743,100,2019-06-28 06:57:04,10
277945,744,8,2018-12-26 15:04:55,1
277945,803,100,2019-10-10 21:16:26,10
277945,804,48,2019-10-10 21:20:24,5
277945,886,100,2020-01-22 20:11:57,10
277945,887,91,2020-05-05 08:55:07,10
277945,902,19,2020-03-25 10:47:02,2
277945,913,1,2020-04-01 17:50:35,1
277945,941,100,2020-01-30 14:22:53,10
277945,1946,96,2020-05-29 11:55:36,10
277945,1947,4,2020-09-30 14:06:49,1
277945,1948,99,2020-05-26 11:15:36,10
277945,4403,55,2021-04-29 00:28:57,6
277945,4409,9,2021-03-23 12:17:44,1
277945,4418,100,2019-09-17 17:43:19,10
277945,4419,100,2019-09-17 18:56:31,10
277945,4420,100,2019-09-17 19:24:46,10
277945,4421,100,2019-09-17 19:31:50,10
277945,4422,33,2019-08-21 21:59:00,4
277945,7626,12,2019-08-21 21:57:46,2
277945,7628,7,2019-08-21 21:58:24,1
277945,24594,100,2020-01-27 20:14:39,10
277945,31949,100,2020-01-27 20:05:08,10
